***********************************
*    Row   * Instance * m_Hits.m_ *
*        0 *      543 * 4.8546941 *
*        0 *      544 * 6.5993099 *
*        0 *      545 * 0.2434599 *
*        0 *      546 * 0.4605258 *
*        0 *      547 * 1.2578173 *
*        0 *      548 * 0.4938880 *
*        0 *      549 * 0.2990811 *
*        0 *      550 * 0.1302492 *
*        0 *      551 * 0.8234186 *
*        0 *      552 * 0.0784205 *
*        0 *      553 * 0.1783332 *
*        0 *      554 * 0.0195747 *
*        0 *      555 * 0.5545808 *
*        0 *      556 * 0.3341833 *
*        0 *      557 * 3.2505632 *
*        0 *      558 * 0.0607470 *
*        0 *      559 * 0.3397220 *
*        0 *      560 * 0.2134675 *
*        0 *      561 * 0.0073766 *
*        0 *      562 * 0.6356827 *
*        0 *      563 * 0.8099847 *
*        0 *      564 * 0.5654382 *
*        0 *      565 * 0.1126010 *
*        0 *      566 * 0.4407910 *
*        0 *      567 * 3.3658970 *
*        0 *      568 * 2.6234625 *
*        0 *      569 * 0.0360470 *
*        0 *      570 * 1.5918523 *
*        0 *      571 * 1.1133532 *
*        0 *      572 * 0.1723184 *
*        0 *      573 * 1.2823380 *
*        0 *      574 * 0.6182561 *
*        0 *      575 * 0.9040934 *
*        0 *      576 * 0.2683155 *
*        0 *      577 * 3.2366146 *
*        0 *      578 * 4.0073452 *
*        0 *      579 * 0.6760690 *
*        0 *      580 * 0.0960267 *
*        0 *      581 * 1.7502409 *
*        0 *      582 * 0.1437975 *
*        0 *      583 * 1.5495672 *
*        0 *      584 * 0.0254630 *
*        0 *      585 * 2.0385597 *
*        0 *      586 * 2.6595852 *
*        0 *      587 * 0.6990868 *
*        0 *      588 * 1.1738041 *
*        0 *      589 * 0.1005373 *
*        0 *      590 * 0.0997441 *
*        0 *      591 * 0.1580810 *
*        0 *      592 * 0.1861288 *
*        0 *      593 * 0.4793572 *
*        0 *      594 * 0.0710620 *
*        0 *      595 * 1.0051582 *
*        0 *      596 * 2.4757307 *
*        0 *      597 * 0.0109743 *
*        0 *      598 * 0.3527940 *
*        0 *      599 * 0.0584212 *
*        0 *      600 * 0.1248050 *
*        0 *      601 * 0.9152442 *
*        0 *      602 * 0.1537857 *
*        0 *      603 * 0.3294308 *
*        0 *      604 * 0.3107950 *
*        0 *      605 * 0.0009037 *
*        0 *      606 * 0.8918837 *
*        0 *      607 * 0.8801715 *
*        0 *      608 * 0.0003679 *
*        0 *      609 * 1.9472187 *
*        0 *      610 * 0.2115713 *
*        0 *      611 * 0.1776402 *
*        0 *      612 * 0.3025067 *
*        0 *      613 * 0.2926396 *
*        0 *      614 * 0.0662915 *
*        0 *      615 * 1.5475568 *
*        0 *      616 * 0.5725719 *
*        0 *      617 * 0.3108892 *
*        0 *      618 * 0.1026246 *
*        0 *      619 * 0.3737135 *
*        0 *      620 * 0.0922666 *
*        0 *      621 * 2.8966854 *
*        0 *      622 * 0.1563442 *
*        0 *      623 * 0.2369960 *
*        0 *      624 * 0.2278302 *
*        0 *      625 * 0.3058947 *
*        0 *      626 * 0.6860874 *
***********************************
